time,Fp1,Fp2,F3,F4,C3,C4,O1,O2
0.332,-3.2999,4.5253,6.9065,-0.9558,4.4659,-2.5355,5.1681,-1.3493
0.336,-5.4733,3.3240,4.1631,1.8809,4.9877,-1.9540,4.9951,-3.2847
0.340,-8.6600,-1.7522,3.6328,-2.3541,6.8185,0.6587,4.9967,1.5829
0.344,-9.6510,-2.3902,2.2985,-2.8883,7.5299,6.3048,7.0164,-0.7093
0.348,-12.0259,-2.2533,3.5213,-2.1950,9.3558,2.5300,8.2577,-2.5235
0.352,-11.0133,-1.6054,0.6698,-1.4273,11.2493,6.1634,10.7078,-2.3154
0.356,-10.9447,0.5039,0.5695,-3.2524,11.3854,5.3661,7.5549,0.0882
0.360,-11.3377,-4.9655,0.5432,-2.6869,8.7086,7.1649,5.4128,-1.7015
0.364,-9.9421,-1.9375,3.0536,-3.4796,4.7057,7.6856,4.3615,-2.6369
0.368,-7.0533,-1.2218,0.9395,-4.0882,3.9332,6.6969,1.4683,-5.6991
0.372,-4.8912,-3.3315,4.3661,-3.9020,1.0174,4.4124,0.1488,-5.5289
0.376,-4.4242,-0.6307,1.3024,-4.2669,0.8576,4.3594,-2.3304,-7.5634
0.380,-1.4354,0.5905,0.5322,-4.1015,0.5764,2.7990,-2.4968,-9.3309
0.384,-1.3119,2.7088,-1.2488,-2.3125,-1.1472,2.7270,-1.0069,-12.0806
0.388,-0.7596,4.4420,-4.3991,-4.5085,-3.3272,0.5033,-5.4046,-9.2726
0.392,4.0296,4.4559,-6.4121,-8.0061,-2.1581,1.1331,-3.2512,-9.3759
0.396,0.9671,2.1915,-7.2891,-7.6543,-2.8311,1.4172,-3.4017,-16.1894
0.400,1.6784,0.5943,-6.6657,-9.9794,-0.0170,-1.1795,-4.4264,-12.8048
0.404,1.3980,-1.3798,-10.5309,-13.0296,1.4712,0.1804,-4.0456,-14.5462
0.408,1.2045,-0.3572,-5.7437,-12.2787,0.5422,-1.2820,1.8217,-13.9723
0.412,-2.8531,3.1913,-0.4621,-12.1793,0.0890,-3.7456,2.7681,-10.9794
0.416,-4.3272,0.4859,-4.8638,-13.0312,1.9013,-2.8012,5.2501,-9.8723
0.420,-4.9744,-2.6792,-0.5331,-13.9866,2.4117,-1.6735,5.7851,-7.7627
0.424,-3.5228,-3.3004,1.5010,-14.8382,3.9749,-5.1518,7.7559,-9.1040
0.428,-4.1834,-4.2444,1.2181,-15.4045,2.1823,-6.6111,12.1207,-6.2902
0.432,-3.1574,-4.2703,-0.4609,-12.4548,1.3324,-7.2264,13.5360,-5.0411
0.436,-2.3899,-5.5049,-0.0787,-9.0248,0.0540,-6.5986,15.4356,-1.0746
0.440,-4.4360,-5.1698,-3.5847,-7.8027,-0.9989,-4.4198,17.3677,1.9000
0.444,-5.2611,-2.2421,0.7882,-7.7866,-0.8587,-1.8939,15.7874,2.4049
0.448,-5.2761,-2.7727,3.3149,-6.0543,1.6993,-0.7419,13.1629,3.2293
0.452,-3.6222,-4.2970,3.0491,-4.7805,-0.0345,2.7751,11.2633,4.7191
0.456,-4.0841,-4.0365,3.1583,-3.5280,0.6203,6.8201,7.8533,2.4938
0.460,-3.5199,1.6497,4.1753,-2.6798,3.2138,6.2876,6.3499,5.2413
0.464,-1.7555,5.3394,2.7734,-2.9134,3.1309,7.9412,5.7398,4.4299
0.468,-5.0095,4.2500,2.3255,-3.2827,2.9202,11.0512,1.5558,2.7256
0.472,-4.2703,4.5270,2.4592,-2.3625,3.1420,9.7219,-1.6455,-1.0157
0.476,-4.7505,4.7600,0.3123,-5.4698,-0.4691,7.7492,-1.7928,-0.8968
0.480,-3.0074,3.5494,-2.6863,-7.3008,-3.1160,6.2707,-7.3780,-4.1406
0.484,-5.7020,4.6580,-1.1034,-3.8243,-1.1462,3.4141,-8.0307,-4.5559
0.488,-2.2589,5.8235,-3.6612,-4.9484,-1.6314,3.2450,-8.1945,-7.8775
0.492,-1.4295,9.6658,-1.9766,-4.7617,-1.6775,1.6887,-9.9373,-10.4269
0.496,-1.3241,6.4443,-3.6985,-3.9938,-1.8755,-0.5448,-9.2291,-13.3879
0.500,-2.9549,8.6037,-2.1946,-4.8529,-1.8391,-0.6947,-8.3767,-17.3833
0.504,-1.0390,6.7686,-1.4162,-5.9949,-0.1395,-0.1809,-8.1834,-14.2748
0.508,-1.3146,4.8981,0.1659,-3.4504,0.3316,-3.5316,-3.5468,-10.3375
0.512,-0.4507,4.1726,1.9831,-4.9397,-0.0117,-4.9885,-0.8087,-8.4744
0.516,2.6629,5.7476,1.9458,-7.2730,0.8267,-8.1211,1.5879,-5.7762
0.520,1.3996,4.9768,1.6843,-8.3568,2.2636,-9.1035,3.8790,-3.7482
0.524,-0.0126,2.4094,2.1826,-10.1232,1.2851,-7.4884,7.1002,-0.5138
0.528,-5.1717,2.7474,1.6384,-12.9219,2.4091,-5.9789,10.5040,2.5763
0.532,-4.5047,3.6419,0.6949,-14.5024,3.2430,-4.7662,10.4282,8.7021
0.536,-4.2323,0.1822,-1.9346,-11.2990,2.7822,-0.9853,10.8786,12.9399
0.540,-3.4750,-0.2034,-1.6067,-9.6850,4.7766,3.3950,12.9682,13.7193
0.544,-6.1016,0.0508,-1.7835,-7.6859,3.3213,3.8193,12.7752,16.0511
0.548,-2.4141,-3.3388,-1.0320,-4.8669,3.7118,3.8002,15.2020,14.9640
0.552,-1.3015,-3.1878,2.7097,-2.4808,3.2714,2.2813,15.7781,19.2275
0.556,-1.7614,-2.8572,4.3392,-5.3691,4.1162,2.9783,15.6375,16.3410
0.560,-2.2973,0.2124,4.4392,-4.9283,5.1126,2.6979,13.0329,16.5001
0.564,-2.0038,-2.6838,1.2420,-5.1546,2.9613,5.0728,11.8982,15.3464
0.568,-2.4815,1.4097,1.1953,-1.8325,3.0008,4.6481,6.9294,9.9562
0.572,-2.5280,1.2958,-1.0985,-4.6198,2.8984,4.7969,4.8094,11.0086
0.576,-1.2954,2.3047,-0.5345,-1.8824,-0.2609,7.2295,3.0599,4.0028
0.580,0.9033,2.8104,-2.9586,-4.7331,1.0778,5.1085,-1.9114,3.0489
0.584,1.4786,1.5524,-3.8760,-5.8124,-1.9169,9.9914,-6.5175,3.6271
0.588,4.1942,-2.2223,-2.5721,-3.9090,-2.8266,7.9017,-5.7186,-0.4807
0.592,4.6657,0.2151,-2.4008,0.0533,-0.0215,7.4073,-6.4255,-1.9791
0.596,3.8840,3.0930,-2.8905,-1.1311,-1.2000,9.3617,-8.1814,-3.7734
0.600,2.1405,1.6546,-2.2876,-1.2393,-5.1710,6.8855,-5.2229,-4.6996
0.604,2.4672,-0.9057,-5.4181,0.3474,-5.6443,2.8153,-3.1865,-2.3530
0.608,3.4048,-1.6350,-5.1852,0.4408,-4.5760,1.4497,-0.6025,-1.0628
0.612,0.8953,1.5447,-2.5817,4.5112,-3.8189,0.2975,2.1749,0.9965
0.616,0.6386,1.8482,-3.9099,4.4803,-4.0502,-1.1846,3.7668,4.1913
0.620,-1.1223,1.5143,-5.5500,3.8539,-4.3260,-1.9600,3.9299,1.6248
0.624,-2.7410,0.4616,-6.5353,7.1209,-3.6882,-3.2894,6.1601,3.9419
0.628,-4.4285,-2.1056,-4.0325,7.8506,1.1361,-6.3494,7.0039,8.3281
0.632,-4.7178,-5.7824,0.6383,8.2085,3.4231,-1.5006,8.1398,11.8014
0.636,-4.6654,-8.0502,1.2766,8.5023,6.0715,-2.9927,7.8352,13.2193
0.640,-7.3678,-7.1411,0.2562,10.8992,3.7944,-3.8240,8.7020,12.4254
0.644,-5.7251,-6.2887,0.9723,10.9033,2.8906,-5.1745,7.6741,14.7739
0.648,-5.8424,-2.7644,7.9570,11.9536,5.0887,-2.5058,4.0396,13.8449
0.652,-7.8071,-3.3890,7.7106,12.3981,6.6733,-3.7673,5.4214,11.9809
0.656,-7.8280,-6.1973,7.4020,12.4399,7.2880,-0.1249,3.1245,12.3210
0.660,-7.4938,-5.6906,8.0332,13.1482,5.7918,1.0838,2.9553,12.7057
0.664,-3.6154,-1.7779,4.5940,13.3388,7.3124,-0.2617,-1.2805,12.8395
0.668,-3.0764,1.6393,4.4366,10.6905,7.9314,0.1757,-5.3287,9.6801
0.672,-2.5625,6.0535,3.5090,10.6923,7.3671,5.9072,-8.0481,8.4677
0.676,-2.0815,5.4701,2.3082,9.1544,6.1367,6.3236,-10.5098,2.9234
0.680,0.3176,3.4592,-1.9885,5.4830,5.4006,10.8780,-13.1807,1.7213
0.684,1.5743,3.7661,-3.5286,3.6787,2.1964,15.0447,-13.5248,0.9594
0.688,0.9554,4.2365,-2.2575,3.3427,2.9084,10.7981,-10.7920,-4.0278
0.692,1.5742,6.4128,-3.3772,0.4697,-0.8614,11.9156,-10.8075,-6.9751
0.696,3.6099,4.9590,-2.6567,-0.4360,-1.7661,8.6258,-10.9030,-7.2855
0.700,5.5111,7.1021,-3.5234,-3.1079,-4.9423,8.6953,-9.5827,-10.4506
0.704,7.4569,6.2196,-5.0548,-2.5129,-5.3475,3.2016,-9.1632,-14.5919
0.708,6.1333,6.9983,-4.9031,-2.4380,-6.2377,-0.1473,-7.2305,-14.7748
0.712,3.9794,6.5931,-5.1703,1.1721,-5.8679,3.1451,-7.2538,-11.0155
0.716,4.7914,3.3554,-7.0187,1.0090,-3.8418,0.0648,-4.3483,-11.2450
0.720,6.8818,0.0997,-5.3466,0.3891,-2.2196,-0.8014,0.6852,-6.9067
0.724,4.7555,2.0900,-6.1794,-1.1215,-2.9941,0.8854,2.3558,-4.0086
0.728,2.3458,-1.1384,-4.5886,1.0819,-1.9646,-2.1461,4.0398,0.6644
0.732,4.4813,0.6118,-6.5278,0.1093,1.8357,2.2703,7.6664,1.0755
0.736,2.0500,-4.9616,-1.0809,3.6450,1.3336,-1.2553,7.5192,0.7924
0.740,0.4534,-8.1368,-1.7633,4.8802,-0.2354,-0.5600,11.4617,1.0865
0.744,0.0512,-6.9567,1.2302,6.3936,1.3181,-1.2342,10.2535,4.0133
0.748,1.4333,-5.4828,2.0406,8.3311,1.2460,1.0581,8.6379,6.3628
0.752,0.9831,-9.5516,2.3722,5.5328,0.9495,0.1932,6.6894,7.1265
0.756,2.8380,-5.3481,6.7861,10.7737,-0.2116,3.4968,4.8789,9.0348
0.760,3.5620,-4.4403,4.1432,13.0368,-0.8593,4.4342,4.1627,5.5293
0.764,6.6641,-3.5200,1.8163,17.6991,-1.0765,3.2520,1.7245,5.8223
0.768,5.6899,-4.8984,1.9973,14.2781,-0.6867,8.7967,-2.3639,4.4383
0.772,8.4845,-4.5434,1.4529,16.1861,0.3248,10.2215,-1.4507,5.6092
0.776,5.9699,-4.1128,3.0756,15.0834,0.4413,9.9995,-4.3127,5.1628
0.780,5.0888,1.1057,2.5656,17.3852,3.0589,9.5985,-6.1282,1.9627
0.784,5.0325,-0.0972,2.9778,13.6291,0.2150,8.3744,-5.9288,4.5102
0.788,0.3253,-0.6007,5.6450,15.1100,0.7273,6.8494,-6.0144,-0.0651
0.792,-1.0771,-0.2762,5.0025,13.4463,1.3645,9.6981,-4.8093,-2.5113
0.796,-2.4088,2.9387,4.3118,9.8680,-4.9364,8.8078,-4.4462,-1.2228
0.800,-1.4544,2.3365,2.2656,10.3789,-1.7243,5.9701,-7.3780,-0.2351
0.804,-2.3352,2.0130,3.8456,9.4481,-2.8276,5.3120,-7.6119,-3.9091
0.808,-2.2218,2.5077,4.0555,7.6093,-4.5208,4.9440,-6.3282,-3.1651
0.812,-4.8864,0.8957,5.2803,5.9559,-4.7764,1.5440,-7.2452,2.8305
0.816,-5.6842,-0.4276,5.6389,3.0322,-1.7029,0.9598,-5.4113,1.3713
0.820,-5.2369,-1.2689,5.4084,3.9106,-1.1531,0.1945,-1.5697,2.3569
0.824,-3.3201,-3.4004,3.6202,3.2445,-0.5500,-2.5055,2.4628,4.7838
0.828,-2.6644,-5.0133,3.6826,2.7265,1.2563,-0.5121,3.8737,7.7167
0.832,-4.8846,-1.4610,5.0796,1.1512,2.2677,-4.4733,9.0967,10.3260
0.836,-7.7143,-1.9027,3.4839,2.3964,3.2420,-3.9118,12.8966,12.0569
0.840,-8.4986,-7.4019,3.4550,3.4708,4.0882,-4.6310,12.1103,12.5218
0.844,-7.1341,-5.9266,2.2001,2.8874,2.9285,-4.2669,12.4291,13.0613
0.848,-6.2321,-7.9164,1.8512,1.6376,2.7304,-2.2602,10.5607,13.8731
0.852,-8.8086,-6.6612,2.4193,1.9716,2.4870,-2.1166,10.5456,9.4929
0.856,-5.8072,-5.7961,3.5495,1.4115,3.0357,-1.7853,7.5903,12.8913
0.860,-2.1163,-4.3304,1.4011,2.6867,4.6397,0.4994,5.3785,11.3870
0.864,1.6530,-0.6372,6.3746,2.1699,4.3895,0.8779,5.9989,8.8322
0.868,7.2048,-0.6456,8.1948,1.6068,4.7773,0.9765,3.4578,9.1324
0.872,6.8386,-0.8744,10.7207,1.3181,4.3298,5.5475,1.3852,3.8493
0.876,6.1628,0.8223,11.4417,0.6744,8.0205,7.8209,0.5122,-1.2694
0.880,5.5296,2.3377,11.4827,-2.1584,6.2840,10.4248,-4.5540,-3.7754
0.884,5.1184,3.0666,10.5883,-2.3884,7.1061,7.0153,-5.5147,-6.3374
0.888,4.6697,2.6126,9.9505,-1.1769,4.9387,7.0472,-9.5415,-8.3028
0.892,5.6464,4.4955,6.2004,-1.4457,0.6211,8.8189,-8.3612,-11.6909
0.896,5.8577,5.1357,7.2303,-1.1217,0.6520,6.3467,-11.1471,-14.7181
0.900,2.2277,0.8930,5.0085,1.7323,-0.3947,4.8834,-9.3970,-13.3211
0.904,0.4582,3.2701,3.6971,-1.1325,-4.5369,4.9087,-6.7618,-15.6598
0.908,-1.2910,3.5744,0.3774,-2.5236,-7.5078,4.5175,-2.0180,-16.6334
0.912,-2.4764,5.0416,-1.7357,-1.1435,-8.9254,2.7898,-1.9118,-12.0484
0.916,-2.6320,2.7764,-2.0550,-0.3129,-8.3896,2.4659,4.0205,-12.1524
0.920,-4.5539,2.7255,0.7886,0.6163,-7.3616,2.4140,5.0330,-8.5491
0.924,-3.5985,-0.7833,0.5724,2.5839,-8.6021,5.5894,8.9072,-9.6251
0.928,-7.9316,0.0802,3.4254,2.4328,-7.2148,4.9938,6.9884,-6.8558
0.932,-7.8473,-1.7780,2.6305,4.4993,-7.7021,5.3462,8.4133,-5.5280
0.936,-7.5110,-3.6359,1.6823,4.3004,-7.3429,6.3301,11.2310,-7.1335
0.940,-7.7025,-3.0035,1.4010,3.9331,-9.7969,3.4960,11.5164,-6.5283
0.944,-8.4548,-3.2207,1.0197,6.9228,-5.7263,1.9878,11.2488,-3.4382
0.948,-6.2618,-0.6236,3.0688,5.8540,-7.1665,2.5604,11.3967,-1.3059
0.952,-3.9355,-2.2637,1.3277,6.5894,-7.3854,-1.1516,12.5978,3.4452
0.956,-5.0900,-0.8265,7.1950,7.4384,-7.0392,2.3847,9.2463,4.0787
0.960,-4.4807,-2.2837,5.5752,4.8906,-7.9850,3.5119,5.4774,4.0846
0.964,-2.3231,-2.1016,7.5341,4.2999,-5.3401,6.3992,4.1145,0.3097
0.968,-0.7196,-3.5925,7.5639,2.7670,-4.2084,8.8159,0.4533,-3.7801
0.972,0.6502,-2.5331,9.3913,0.6247,-2.7820,8.5527,-3.6724,-1.6557
0.976,1.5106,-2.4944,7.1670,0.4385,-2.1948,9.2506,-6.8597,-3.2114
0.980,2.6130,-0.7124,7.4510,-0.2306,-5.3673,9.5620,-7.7375,-2.7317
0.984,3.8668,-1.2003,9.2465,-3.6491,-5.4023,11.9639,-12.6670,-5.0032
0.988,2.6487,-0.4233,11.0955,-2.7249,-5.5277,12.6880,-16.4378,-8.2907
0.992,0.9333,4.0410,9.3396,-4.0246,-5.4565,18.1955,-14.6803,-10.0603
0.996,-3.2194,5.4036,7.9787,-6.8646,-6.1465,15.0704,-12.4685,-13.0742
1.000,-3.2149,3.4066,5.6314,-6.5974,-6.1697,15.8228,-10.5252,-11.0069
1.004,-5.7420,3.2213,6.8705,-7.4845,-6.4084,15.2856,-9.8731,-9.6829
1.008,-6.2429,6.7537,4.3028,-9.1046,-6.2991,15.0003,-6.5121,-10.7231
1.012,-6.8866,4.1165,4.6493,-11.5520,-8.6398,13.2791,-5.7175,-7.8523
1.016,-5.8437,4.7077,6.3162,-9.0141,-9.6740,9.1306,-5.6379,-7.4309
1.020,-5.6320,3.5480,3.9163,-6.9482,-12.5213,8.6434,-6.0358,-3.6964
1.024,-4.5930,-0.6294,6.2945,-9.7538,-11.2325,5.7408,-4.3039,-0.7981
1.028,-5.1215,-0.9065,5.4304,-9.2471,-8.7195,5.7485,-1.0848,-0.0102
1.032,-2.9717,-2.0321,3.5197,-8.6158,-9.9107,2.8733,2.2601,-0.1209
1.036,-2.4688,-3.1332,5.1972,-7.6722,-8.3981,-1.0990,3.2438,5.0186
1.040,-1.6778,-3.6475,3.0493,-5.0359,-6.1749,-4.4809,1.4417,7.0702
1.044,-2.0392,-4.2070,2.9077,-2.7127,-7.0190,-5.3805,3.4129,7.7298
1.048,-1.3778,-4.3628,2.5137,-1.5901,-9.0002,-4.5829,7.1681,10.7626
1.052,2.8921,-4.8125,6.9505,-0.8645,-7.2257,-6.7319,5.9028,11.5294
1.056,4.4421,-5.1381,5.4675,3.2925,-9.9313,-3.2244,5.2211,11.8708
1.060,4.6083,-5.0574,8.8287,2.4808,-10.4491,-4.2936,3.1689,12.4894
1.064,7.2149,-2.1023,9.6835,1.9034,-9.8894,-3.5421,0.6341,12.4311
1.068,3.7922,-3.0824,8.9756,1.3073,-7.4725,0.8786,-3.3762,9.3025
1.072,7.2448,-8.3229,9.5778,2.6366,-7.5560,3.8573,-9.9035,8.8672
1.076,8.9184,-3.3677,8.9047,4.2456,-5.7487,3.7067,-9.7636,3.1336
1.080,10.2918,-3.5773,7.9929,5.2586,-4.1016,2.9149,-12.9688,-1.6591
1.084,8.1402,-2.8709,6.1335,6.1057,-1.3196,2.4467,-10.7004,-4.3409
1.088,9.4598,-1.5962,4.9847,8.2813,-0.7811,5.7715,-11.9877,-11.0329
1.092,9.5061,-1.9286,5.1550,7.1067,-1.5616,9.6269,-10.3751,-11.5137
1.096,6.2950,-0.7908,5.9456,10.7772,-5.4261,10.6050,-10.0687,-12.9231
1.100,6.8396,-1.3611,7.2618,9.1579,-6.9585,9.0118,-7.8657,-15.6270
1.104,3.5325,-1.9765,5.9923,7.9573,-8.2655,7.5378,-6.2794,-18.1723
1.108,2.3574,-3.2591,8.9264,6.5267,-8.5169,6.6813,-7.1104,-13.7292
1.112,-0.5748,-7.5411,8.1828,6.7106,-11.1788,7.0274,-7.0361,-12.0190
1.116,-2.2320,-7.3402,5.5979,7.8421,-11.9291,4.2701,-5.8793,-10.3328
1.120,-3.7165,-7.6197,3.1835,5.9908,-13.0410,3.0792,-1.8616,-7.7459
1.124,-4.9712,-6.6197,4.8208,6.1536,-14.1323,4.8696,-1.4719,-9.2037
1.128,-2.0857,-8.7287,1.1655,7.5115,-13.2679,5.6939,0.4439,-5.9195
1.132,-5.4179,-7.4403,-1.1433,8.0377,-12.1476,8.5105,3.1713,-2.9274
1.136,-3.8406,-7.1438,-2.9266,7.0569,-12.3570,3.4628,6.2652,0.2545
1.140,-4.7762,-7.3051,-1.9559,4.5803,-11.9601,0.5866,8.9555,1.6810
1.144,-3.2275,-7.2318,-3.6101,5.2417,-11.9036,-1.5783,8.8084,6.5717
1.148,-3.4565,-10.0195,0.3243,5.6356,-7.1344,-0.0674,8.8086,6.8285
1.152,-3.4920,-9.1932,0.2060,6.7165,-7.6785,1.5298,6.6505,10.0977
1.156,-4.6112,-10.2774,1.0227,8.6535,-8.9476,3.5516,5.2504,11.1626
1.160,-1.0807,-6.2370,2.3085,10.8481,-6.7177,2.8860,4.6526,12.1723
1.164,-2.7109,-5.0432,3.1487,10.2384,-4.4465,3.0132,1.7441,10.2847
