time,Fp1,Fp2,F3,F4,C3,C4,O1,O2
0.336,3.4837,4.5639,3.7447,3.5854,6.2045,4.8596,4.8746,3.5120
0.340,4.1171,4.8869,3.3165,3.0692,3.9330,4.2064,3.2750,3.2306
0.344,5.4314,4.5390,4.2618,4.3709,3.8751,2.5905,2.1576,3.1176
0.348,5.4646,6.0456,4.9768,4.6231,2.9467,3.9542,3.1331,2.1989
0.352,6.2224,6.3039,5.8264,5.0998,4.5332,3.8188,1.8238,0.8217
0.356,7.0384,5.5724,6.6181,5.6509,2.3078,2.5617,1.5756,-0.0659
0.360,5.9212,5.4276,6.0330,6.2529,2.6065,1.4240,0.2046,-1.0594
0.364,6.0109,6.7622,6.3252,7.5817,0.3414,-1.0211,-1.0359,-1.2656
0.368,6.2839,5.1807,7.3644,5.4568,-0.9723,-2.0145,-1.4639,-1.1382
0.372,5.9189,6.7933,5.8108,4.6572,0.0645,-2.0032,-2.7574,-2.6118
0.376,4.4721,6.0082,5.6549,4.1428,-1.2664,-2.8364,-3.0153,-2.6696
0.380,5.6107,5.4039,4.6325,3.3728,-2.5713,-4.1706,-3.5617,-4.3271
0.384,5.5148,4.0437,5.5303,3.0480,-1.3478,-2.3227,-2.2965,-3.5825
0.388,4.7383,5.4367,4.4717,4.8171,0.3088,-1.7796,-0.3657,-1.7276
0.392,4.4808,4.9556,4.8858,4.8525,2.2937,-0.9717,0.5971,-0.1848
0.396,4.4773,5.1593,5.1177,4.8884,2.4239,1.1421,0.7949,1.7493
0.400,6.7781,6.9359,7.2578,5.0364,3.7315,3.1413,3.6469,2.7060
0.404,5.8822,5.8541,6.4582,5.7940,5.4296,5.3549,2.1364,3.8905
0.408,4.7896,6.4325,6.6599,5.0536,7.5783,5.5263,4.8024,3.4392
0.412,4.1681,4.3556,6.8185,3.7300,6.3386,5.4596,4.8432,6.1980
0.416,4.2910,4.3536,5.7183,5.2511,7.1929,7.0681,5.9222,5.3730
0.420,2.8288,3.0833,3.2531,3.8701,8.3880,4.8312,6.8606,4.6608
0.424,2.5488,2.9495,3.1427,3.0680,3.9618,7.4376,4.6906,5.3164
0.428,1.2704,2.9509,3.3436,0.2040,5.9209,2.9285,4.5295,4.8580
0.432,0.0792,-0.1683,1.7488,1.0712,2.7404,3.9079,5.0247,2.8437
0.436,-1.2675,-0.2591,0.5692,-0.2221,3.7682,3.2235,2.3824,2.4424
0.440,0.3295,-0.2548,-0.6160,0.1698,1.6430,1.7164,1.1131,1.1526
0.444,-1.6965,-1.9464,-2.0336,0.3789,2.2690,0.7797,-0.0743,0.7295
0.448,-1.6996,-0.7985,0.5902,-2.8944,1.5965,-0.4116,-0.6173,0.4292
0.452,-1.4481,-2.1854,-4.8077,-2.0847,0.5020,0.0099,-2.1629,-1.8635
0.456,-3.6379,-0.7749,-0.0945,-1.3854,-1.1550,-1.3208,-3.6454,-2.2144
0.460,-3.1476,-2.3285,-2.1214,-3.3628,-0.5407,-1.1938,-6.0464,-4.3193
0.464,-2.9603,-2.1275,-3.8118,-3.6877,-5.4642,-3.9230,-5.4440,-5.7800
0.468,-2.8313,-3.5999,-3.4159,-2.5823,-3.9201,-6.7532,-7.1895,-6.0605
0.472,-4.0344,-2.7225,-2.2408,-3.6684,-5.2727,-5.1602,-6.3376,-7.2680
0.476,-3.6430,-3.0984,-3.9990,-3.1089,-7.4319,-4.6114,-6.1892,-5.4960
0.480,-2.5824,-3.1256,-2.6520,-3.4414,-6.6645,-7.3262,-6.5811,-6.9213
0.484,-1.7635,-2.3518,-2.8335,-3.2916,-6.3476,-7.2372,-5.6873,-6.9671
0.488,0.2245,0.5760,-1.6203,-0.1779,-3.4372,-4.6187,-4.6112,-2.9798
0.492,0.3012,0.5962,-0.3884,-0.1624,-3.1209,-2.1510,-3.2509,-2.8490
0.496,2.5187,1.6346,1.2441,1.1155,1.0704,-0.0478,-0.3210,-0.6070
0.500,2.2719,3.0925,2.5381,2.7397,1.3970,0.9797,-0.3636,-0.7135
0.504,4.6760,6.1461,4.8143,4.4258,3.9281,3.2240,4.2287,5.1617
0.508,6.3035,4.6119,4.9937,6.1008,6.8555,7.2725,4.2428,3.0022
0.512,6.0911,6.5335,7.7542,5.7242,8.3616,7.3573,6.4082,6.9747
0.516,8.0074,7.1335,6.3996,7.5589,9.2917,7.9881,6.4160,6.8636
0.520,8.7130,7.4544,7.6364,7.9626,8.8531,7.9695,6.7307,7.2543
0.524,8.2151,8.5981,9.5421,8.0358,8.1309,8.6540,8.6265,8.2840
0.528,6.6754,9.2878,9.0499,7.6680,7.6800,6.7643,7.4743,7.9636
0.532,8.4783,9.3854,8.2790,8.4260,7.6237,6.5556,7.6076,7.6622
0.536,9.2178,8.2834,8.1701,7.3717,7.0655,5.6115,6.0944,6.9394
0.540,7.8482,9.1629,7.5523,9.5651,5.4130,5.9005,4.6437,5.5795
0.544,7.2438,8.1310,8.2433,7.9067,5.3275,5.0033,3.6746,4.3510
0.548,7.4965,8.9157,6.6763,7.4788,5.4246,4.6149,2.8337,4.4918
0.552,7.7774,9.1022,7.0741,7.3486,3.3900,4.6395,3.6772,1.6633
0.556,5.9310,7.6916,9.4396,6.5649,3.3761,4.0411,1.3370,0.0785
0.560,6.0248,7.3071,5.6288,6.9138,1.4782,0.5668,-0.5553,0.3772
0.564,5.9856,4.1178,5.3277,4.2956,0.9548,-0.2835,-0.9659,-1.6077
0.568,4.1584,6.3293,4.6161,4.7533,-0.9250,-2.5196,-4.2669,-1.8420
0.572,4.2625,3.9523,2.0730,3.8125,-4.1596,-3.2470,-3.8360,-4.3891
0.576,2.3725,3.7862,2.0956,1.9496,-4.1872,-3.1523,-4.3375,-5.4285
0.580,0.5512,2.8984,0.7839,0.2420,-4.8908,-4.8944,-5.4444,-4.8253
0.584,0.9545,0.1963,0.1853,-0.7618,-4.2423,-5.8133,-4.1044,-5.4993
0.588,-0.4461,1.3237,-0.3910,-0.2887,-4.5619,-3.4652,-1.5250,-3.9400
0.592,0.1009,0.3013,0.0785,-0.1385,-2.5000,-2.4320,-2.5770,-2.5039
0.596,0.2390,1.1179,-0.0965,0.0105,-0.9796,-1.8498,-1.5084,-1.4302
0.600,-0.9418,1.2928,-0.7335,0.3522,0.9738,0.6178,-1.0924,-1.1140
0.604,0.0936,1.0448,1.2091,1.7789,2.5272,1.7685,0.7338,1.3012
0.608,0.9131,1.3264,-0.9069,1.6477,3.7422,2.4892,1.8894,1.5337
0.612,1.5636,-1.6000,-0.1747,0.0784,4.1582,4.4491,2.2388,3.0297
0.616,1.4190,0.4261,0.6088,0.7846,5.0302,5.1628,3.0407,3.5776
0.620,0.7861,0.8397,0.0934,-0.5600,4.1849,5.8741,3.8787,4.3485
0.624,0.7719,0.8344,0.6143,-1.1449,5.4471,4.6820,4.9660,3.5092
0.628,-1.7844,-0.5710,0.0457,-0.4023,5.4166,4.2913,3.9033,4.7183
0.632,-1.1971,0.8828,-1.2006,-1.9374,3.7201,2.7311,3.4147,3.5053
0.636,-0.6641,-0.4183,-1.9035,-0.5620,2.5773,2.6594,1.8765,2.7668
0.640,0.1257,-0.1721,-0.5570,-2.6076,2.1453,1.1410,1.2674,0.7172
0.644,1.4740,0.7876,0.4075,-1.2138,2.2135,1.0420,0.9376,1.3456
0.648,0.5028,-0.1692,-0.4096,-0.2552,1.4284,2.1494,-0.0480,-1.0236
0.652,0.9579,1.7153,0.3414,0.5737,1.1782,0.2346,-1.2616,-1.5830
0.656,0.8997,2.6188,2.5210,1.8440,0.3715,0.2310,-2.1502,-3.8158
0.660,2.1326,2.6828,-0.8164,1.1969,-0.1505,-0.3049,-1.5646,-2.3809
0.664,1.9678,2.1636,1.0051,1.2085,-2.8398,-1.4810,-3.9185,-3.8735
0.668,2.8282,2.9564,1.5888,0.1420,-2.9690,-2.0447,-4.2954,-3.9370
0.672,2.5678,1.9912,1.3455,2.3972,-4.9700,-2.4652,-5.0623,-4.9615
0.676,3.0748,3.2167,3.2997,1.9770,-3.9278,-2.2847,-4.8706,-5.0921
0.680,1.9568,3.0837,3.6788,3.1382,-4.5175,-2.9891,-4.0501,-4.0115
0.684,4.0730,4.2317,3.1878,2.6479,-3.6750,-3.6012,-4.0817,-4.9017
0.688,4.5049,4.3412,5.4698,3.9985,-1.9552,-2.4306,-2.4185,-1.2866
0.692,6.4757,6.7026,4.8869,5.6061,-0.2460,0.2182,-0.6744,-0.1855
0.696,6.9660,7.0331,7.2400,5.7240,1.6886,0.8934,2.8567,0.9245
0.700,8.1671,8.6108,8.2865,7.1412,4.7232,3.7603,1.5462,4.4757
0.704,9.0878,8.5534,9.4694,9.3984,5.9655,6.8580,3.7583,4.8860
0.708,11.9530,11.0324,9.1611,9.1901,8.1527,10.0515,6.7283,4.1411
0.712,11.8232,11.1693,10.0223,8.7963,9.0635,9.9477,7.7617,7.3043
0.716,10.1639,12.1303,9.7189,10.1414,7.6200,9.5803,7.0096,6.9472
0.720,10.7727,11.1422,11.4207,8.8226,9.5593,8.5489,9.9864,8.6420
0.724,9.9811,11.1839,7.8039,9.8190,8.4499,7.8502,9.3333,7.2218
0.728,9.9980,9.1817,6.6060,9.5894,8.7725,8.7427,7.0334,8.8063
0.732,7.3163,8.2512,6.2909,8.1063,6.5307,6.4322,6.3074,6.4048
0.736,6.7561,7.1695,7.7227,7.1295,5.6774,5.2540,6.3323,6.5952
0.740,7.1187,6.5403,5.4187,4.5823,5.3968,4.4768,5.3946,2.8748
0.744,4.6055,4.9099,6.3861,5.3406,3.3222,5.1684,4.1773,3.8323
0.748,3.8222,5.3420,3.6890,3.3925,4.0708,3.4676,0.7660,1.2969
0.752,5.0428,2.0834,3.2637,2.2152,2.0447,2.9374,0.4073,-0.0651
0.756,2.1605,1.2988,1.5282,0.6939,0.4197,0.4697,-1.3671,-0.7983
0.760,2.2480,1.2652,-0.5115,-0.9885,-0.0029,0.3911,-3.9820,-3.5224
0.764,0.3313,0.4342,0.1133,-0.4737,-1.7926,-3.9496,-4.6057,-2.7658
0.768,-1.0803,-1.0265,-1.3816,-3.6516,-2.3255,-3.3338,-4.6364,-6.3516
0.772,-2.6265,-1.4355,-3.6210,-2.4664,-5.4671,-4.3935,-6.7849,-7.4915
0.776,-2.7689,-3.5177,-4.3396,-4.6601,-8.1104,-7.1380,-7.7547,-6.9499
0.780,-4.4614,-1.4496,-3.5545,-4.9586,-7.5549,-7.6405,-6.9033,-7.1872
0.784,-3.3101,-2.5542,-3.4542,-4.7617,-7.2450,-6.7428,-6.5512,-5.2576
0.788,-2.5829,-3.3844,-3.1901,-4.4597,-5.4846,-5.7973,-6.2643,-5.5675
0.792,-3.3315,-2.7824,-3.8411,-3.7996,-4.5989,-5.0299,-3.1244,-5.8180
0.796,-1.5561,-1.2521,-2.9997,-3.3944,-2.2770,-2.7538,-2.6134,-2.4543
0.800,-0.0933,-2.2417,-1.2223,-0.8717,-0.2180,-0.7066,-0.3856,0.4226
0.804,1.0459,0.9929,-2.8465,-1.6978,2.4407,1.8526,0.4534,1.6555
0.808,1.2938,1.3414,-1.4441,-0.3960,2.9997,4.5558,2.7002,1.3173
0.812,1.9923,2.0228,1.5625,1.9885,5.7059,3.3018,3.0259,4.1700
0.816,2.7200,2.7220,1.1636,1.5053,6.6453,5.2525,5.3514,5.6474
0.820,1.9179,3.7238,2.5266,1.1146,7.0169,7.0921,6.6049,5.0089
0.824,5.1685,4.7256,3.0535,1.5418,6.3038,6.7813,7.4606,6.9762
0.828,4.2528,3.1532,1.8869,2.2038,5.6946,6.3228,5.7207,6.4351
0.832,4.7870,4.7850,4.6484,3.4749,5.0789,4.5130,5.4605,4.2096
0.836,6.0800,6.1180,3.8846,3.9877,5.5359,5.8877,5.7318,3.5726
0.840,5.7176,5.9154,5.0265,4.1641,5.0798,3.7737,5.1794,4.8525
0.844,7.9338,6.5190,5.1736,4.7356,3.4904,3.3826,3.3063,1.8813
0.848,6.9019,8.4228,5.6680,5.6695,3.4886,4.5546,1.7344,3.6538
0.852,7.1251,7.4927,7.2392,5.1361,3.7378,2.4374,0.7861,3.0403
0.856,7.0217,6.9227,7.1727,6.3456,3.2612,1.6941,0.6375,0.8167
0.860,7.8717,7.0688,5.8181,7.7494,1.1321,0.5483,-0.5138,-0.0437
0.864,7.7714,7.5475,6.2375,6.6169,0.4133,1.3935,0.5105,-1.1407
0.868,7.6495,7.6818,7.1585,6.7797,0.2232,-1.0577,-2.9136,-0.8213
0.872,7.7341,6.8664,5.6247,5.3016,-1.3452,-2.8441,-1.5922,-2.6758
0.876,5.5518,6.3309,6.5701,6.4449,-3.1006,-3.9713,-3.0735,-3.6557
0.880,5.9985,6.1610,4.9721,5.6782,-3.9666,-3.3148,-2.5175,-3.1414
0.884,5.5055,8.5144,4.9358,3.4174,-2.8279,-3.3884,-1.5363,-2.2705
0.888,5.6044,6.0499,6.3417,6.0017,-0.9076,-1.1378,-2.4614,-1.0751
0.892,6.8708,7.4651,5.5703,4.0987,-0.7503,-0.2492,1.0929,-1.3992
0.896,6.7784,6.3284,4.1191,4.4579,3.5276,1.4245,1.6261,2.4546
0.900,7.5085,6.6376,6.0645,7.6945,3.0986,2.4136,2.8640,2.6902
0.904,8.1165,6.6439,6.6513,6.2960,5.3550,4.7822,3.2623,4.2527
0.908,6.8088,5.6741,6.2487,5.5627,6.7651,5.3538,3.7931,6.0489
0.912,8.5397,5.9677,5.6263,4.3762,7.2162,7.4307,7.0100,4.4545
0.916,4.8703,7.1994,5.3624,4.7658,6.2138,7.2016,7.3925,9.2763
0.920,5.6299,5.4522,4.2719,3.5595,7.7999,7.8420,7.6555,6.4033
0.924,4.2477,4.1617,1.8441,2.1509,6.8004,5.2084,6.0323,5.2887
0.928,3.5221,2.6285,1.9688,2.9466,5.8582,4.1565,5.0306,5.6456
0.932,1.5027,2.5338,1.0248,0.9235,4.5641,3.9313,3.1817,4.6190
0.936,1.2870,2.0082,-0.2941,0.5528,3.0464,3.2060,3.7930,3.1679
0.940,0.0306,1.0902,-0.0057,-1.4543,2.3977,1.1994,2.3305,1.6008
0.944,-0.0475,-0.2105,-1.3873,-0.8670,0.9124,0.7654,0.6555,3.4558
0.948,-0.0944,-1.4441,-2.3439,-0.8914,-0.5454,1.0996,1.6872,0.4529
0.952,-0.9654,-0.6617,-2.3564,-3.3897,0.8982,-0.7579,-2.3343,-1.0452
0.956,-0.1166,-1.4585,-2.5893,-2.8433,-0.8939,-0.6967,-2.4906,-3.2100
0.960,-3.4326,-2.3142,-3.3057,-4.1778,-2.9527,-2.5051,-3.5002,-5.1850
0.964,-2.5975,-4.2798,-2.6396,-4.5070,-4.3732,-4.2462,-5.3545,-3.6495
0.968,-2.0042,-1.1061,-4.7751,-4.2207,-5.2070,-4.2210,-6.7163,-5.2613
0.972,-2.5768,-1.7379,-5.5133,-4.3989,-7.8168,-5.3088,-6.4323,-7.2874
0.976,-2.8271,-2.9948,-4.1979,-4.8591,-8.0600,-7.4068,-6.5634,-5.6206
0.980,-0.1157,-1.6892,-3.2564,-3.9702,-7.2552,-7.2797,-4.9018,-5.9781
0.984,-0.3312,-0.8115,-2.2962,-3.4836,-6.9297,-5.7686,-4.8757,-5.6662
0.988,0.2973,-1.3540,0.1237,-1.5325,-5.3176,-4.4397,-3.9312,-5.5270
0.992,0.9252,0.3565,0.6300,-0.1293,-2.5034,-3.6917,-2.5912,-2.0628
0.996,2.6742,3.1115,2.7144,1.5236,-0.0171,0.4747,0.4944,-1.9312
1.000,4.3568,5.4895,3.7560,3.2360,2.2183,1.2616,1.7049,3.3210
1.004,6.9875,5.6645,4.7488,3.0159,4.6814,5.1974,3.3238,4.4753
1.008,6.6123,7.0251,5.1643,4.8696,7.4814,7.4592,4.8024,4.5527
1.012,7.9282,8.5303,5.7152,6.6304,7.4908,8.7585,5.4293,7.1799
1.016,9.0926,8.6737,7.6396,7.1812,8.4149,9.7119,8.6345,8.6533
1.020,9.8573,10.0527,7.4148,7.2076,8.9505,9.3911,10.1375,10.4795
1.024,8.8656,10.9968,7.6957,7.8334,9.0293,9.6306,8.6954,9.6535
1.028,9.2814,8.8859,8.3363,8.1455,8.2462,7.5527,8.1140,8.2860
1.032,9.2756,10.0537,8.6813,7.4797,7.4535,7.5794,8.9765,8.7435
1.036,11.1618,10.7028,9.1121,7.3942,7.2233,6.7433,6.6369,6.6103
1.040,9.5948,8.8149,9.0492,9.0902,6.7842,4.1929,8.4939,6.0098
1.044,9.0026,8.6902,7.8070,5.8118,4.3534,3.8242,5.2589,4.6143
1.048,9.4177,9.3458,6.6921,7.3583,5.0981,4.7704,4.9853,4.1663
1.052,9.0424,9.6348,7.5292,6.5986,3.9995,4.6032,2.4195,3.9253
1.056,8.5567,9.3729,7.3065,5.5337,2.6704,1.3042,1.6892,3.2780
1.060,7.8054,6.2957,5.6974,6.3115,0.4482,0.6628,0.2330,1.1294
1.064,5.5281,7.1040,4.9586,4.0520,-0.6651,-1.8849,-0.4372,-2.1521
1.068,6.3374,4.3997,3.8798,2.1541,-2.2418,-3.4851,-2.5107,-2.7941
1.072,2.9933,2.6100,2.8826,3.8293,-2.6052,-3.2001,-4.3141,-3.3550
1.076,2.7772,2.3058,0.5097,1.5919,-4.7532,-5.5147,-5.5958,-4.1981
1.080,2.4215,2.4089,1.5418,0.5493,-5.6437,-6.0559,-4.1292,-4.1454
1.084,1.8609,1.0704,-1.0367,-0.1034,-4.7391,-5.4438,-3.7989,-4.9843
1.088,0.9143,0.5906,-0.6759,-0.9780,-4.3031,-4.7669,-4.7582,-3.8264
1.092,0.9628,0.0185,0.5450,-0.3377,-2.2908,-4.0252,-3.8100,-3.6241
1.096,1.3795,1.4925,-2.3365,-1.0816,-1.7783,-1.5377,-0.9945,0.1730
1.100,0.8843,0.3030,0.5042,-1.3065,0.1430,0.2387,0.4379,1.6687
1.104,1.3932,1.3464,-1.5816,-0.3659,2.2809,1.6865,1.8123,2.1682
1.108,-1.4170,2.7056,1.0924,0.8207,4.5926,5.6101,2.2889,2.8597
1.112,3.2351,3.0744,-0.1123,-0.9061,4.2404,5.7361,4.8650,4.6232
1.116,2.1831,-0.1027,1.1133,-0.4981,4.9510,4.4537,5.8838,4.1793
1.120,0.3953,-0.5712,-0.2911,-1.5094,5.0655,6.7436,3.6404,5.2179
1.124,0.5546,-0.0548,-0.6739,-0.5869,4.1685,3.6695,3.5225,6.0194
1.128,0.0440,1.0701,-1.2615,-1.9342,3.9394,4.2185,5.0590,5.1539
1.132,0.9942,0.0182,-1.9424,-1.3628,3.7457,2.9793,2.2743,4.8865
1.136,0.5661,-1.2463,-1.8734,-2.0000,2.6250,2.8398,4.3521,2.5551
1.140,1.7457,-0.6683,-1.0388,-0.4329,0.6319,3.3752,2.6497,4.1490
1.144,1.6117,-0.1996,-0.4744,-0.9827,2.0545,-0.3701,1.8508,1.1781
1.148,2.3364,0.3611,-0.7535,-1.7429,0.3165,1.4132,0.5047,-0.2918
1.152,0.5905,1.4522,0.1277,-0.4968,0.1855,0.5540,-0.1508,-0.2358
1.156,2.2353,2.4657,0.1864,-0.7562,-0.1941,-0.3610,-1.0320,-1.3406
1.160,2.7652,1.0657,0.7926,1.3913,-0.1004,-2.0876,-3.3019,-1.5920
1.164,1.9375,2.1888,1.8223,0.0334,-2.1129,-1.6228,-3.0209,-2.3882
1.168,1.8858,1.4579,2.0932,-1.1752,-2.2490,-4.1853,-3.5717,-2.9115
1.172,2.8316,2.4959,0.6568,1.4809,-4.8258,-4.4921,-3.1105,-3.4398
1.176,2.4472,2.3143,1.3836,1.9094,-4.5034,-4.1636,-4.9953,-5.1388
1.180,3.3282,4.8501,2.0701,1.7822,-6.7277,-4.1438,-4.3507,-3.1119
1.184,3.8864,4.1608,2.8490,2.2520,-3.4624,-4.6454,-2.8919,-1.8200
